geo_point_2d;geo_shape;ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_grp;crash_loc;crash_mont;crash_time;crash_type;crash_year;crsh_sevri;developmen;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;drvr_vehty;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_conditi;rd_config;rd_defects;rd_feature;rd_surface;rural_urba;speed_limi;traff_cntr;weather;workzone_i
"36.0100771166; -78.9900027276";"{""type"": ""Point"", ""coordinates"": [-78.99000272756687, 36.01007711662527]}";Yes;40-49;41;With Traffic;B: Evident Injury;Travel Lane;White;Female;None - Rural Crash;Durham;No;Wednesday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;September;8:40;Motorist Drive Out - Sign-Controlled Intersection;2011;B: Evident Injury;Farms, Woods, Pastures;70+;70+;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Rural;40 - 45  MPH;Stop Sign;Clear;No
"36.0100571162; -78.9900427273";"{""type"": ""Point"", ""coordinates"": [-78.9900427273312, 36.010057116237476]}";No;30-39;37;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Durham;No;Friday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;August;18:00;Motorist Drive Out - Sign-Controlled Intersection;2010;B: Evident Injury;Farms, Woods, Pastures;70+;70+;No;0-5 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Coarse Asphalt;Rural;40 - 45  MPH;Stop Sign;Clear;No
"35.9100670923; -79.0745027481";"{""type"": ""Point"", ""coordinates"": [-79.07450274812246, 35.910067092258274]}";Yes;70+;70+;With Traffic;K: Killed;Travel Lane;White;Male;Carrboro;Orange;No;Saturday;Motorist Overtaking Bicyclist;Non-Intersection;July;10:12;Motorist Overtaking - Bicyclist Swerved;2011;K: Killed;Commercial;70+;70+;No;11-15 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
"35.9160570939; -79.0480067397";"{""type"": ""Point"", ""coordinates"": [-79.04800673969231, 35.916057093923605]}";No;20-24;22;With Traffic;C: Possible Injury;Travel Lane;Unknown/Missing;Male;Chapel Hill;Orange;Yes;Thursday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;May;23:09;Motorist Drive Out - Sign-Controlled Intersection;2007;C: Possible Injury;Residential;40-49;48;No;6-10 mph;O: No Injury;Black;Male;Sport Utility;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
"35.9361370985; -79.0355427373";"{""type"": ""Point"", ""coordinates"": [-79.03554273729897, 35.93613709846183]}";Yes;11-15;12;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;March;15:24;Motorist Drive Out - Sign-Controlled Intersection;2008;B: Evident Injury;Residential;40-49;49;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Bottom;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
"35.917644093; -79.0942627539";"{""type"": ""Point"", ""coordinates"": [-79.09426275387789, 35.91764409304694]}";Yes;25-29;29;With Traffic;B: Evident Injury;Travel Lane;White;Male;Carrboro;Orange;No;Wednesday;Bicyclist Failed to Yield - Signalized Intersection;Intersection;January;11:26;Bicyclist Failed to Clear - Multiple Threat;2008;B: Evident Injury;Commercial;50-59;52;No;26-30 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Curve - Hillcrest;NC Route;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Urban;40 - 45  MPH;Stop And Go Signal;Clear;No
"35.9903901087; -79.0729827518";"{""type"": ""Point"", ""coordinates"": [-79.07298275177433, 35.990390108748706]}";Yes;30-39;34;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Friday;Motorist Left Turn / Merge;Non-Intersection;October;17:10;Motorist Left Turn - Opposite Direction;2007;B: Evident Injury;Farms, Woods, Pastures;0-19;18;No;11-15 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;Driveway, Private;Smooth Asphalt;Rural;30 - 35  MPH;No Control Present;Clear;No
"35.9107670925; -79.0691027466";"{""type"": ""Point"", ""coordinates"": [-79.06910274659306, 35.91076709245438]}";Yes;20-24;24;Facing Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Tuesday;Crossing Paths - Other Circumstances;Intersection;March;22:44;Signalized Intersection - Other / Unknown;2012;B: Evident Injury;Commercial;25-29;26;No;0-5 mph;O: No Injury;White;Male;Sport Utility;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Wet;Two-Way, Not Divided;None;Related To Intersection;Coarse Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Rain;No
"35.9117270925; -79.0624127445";"{""type"": ""Point"", ""coordinates"": [-79.06241274448502, 35.91172709253124]}";Yes;25-29;25;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Saturday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;July;12:04;Motorist Drive Out - Sign-Controlled Intersection;2009;B: Evident Injury;Commercial;50-59;54;No;0-5 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
"35.9159370933; -79.0644027448";"{""type"": ""Point"", ""coordinates"": [-79.06440274480194, 35.915937093270955]}";No;Unknown;0;Facing Traffic;Unknown Injury;Travel Lane;Unknown/Missing;Unknown;Chapel Hill;Orange;No;Monday;Bicyclist Left Turn / Merge;Non-Intersection;April;18:27;Bicyclist Left Turn - Opposite Direction;2012;O: No Injury;Residential;25-29;27;No;31-35 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);1 lane;2.0;Curve - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
