block_intersection,severity_code,collision_type,person_count,ped_count,pedcyl_count,veh_count,junction_type,sdot_coldesc,in_attention,under_infl,weather,road_cond,light_cond,ped_right_way,speeding,s._col_desc,crosswalkkey,hit_parked_car,latitude,longitude
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.604651578239896,-122.33869324292378
0,1,Cycles,2,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",1,0,Clear or Partly Cloudy,Dry,Dawn,0,0,Vehicle Strikes Pedalcyclist,0,0,47.6080125260411,-122.30437525746581
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.60729905819726,-122.33708679815666
0,0,Cycles,2,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Pedalcyclist Strikes Moving Vehicle,0,0,47.58635654911362,-122.37709106587593
0,1,Cycles,2,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",1,0,Overcast,Dry,Dark - Street Lights On,0,0,Pedalcyclist Strikes Moving Vehicle,0,0,47.68052069009705,-122.32286515402537
0,1,Cycles,2,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Wet,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.685300211847846,-122.32562209265913
0,0,Cycles,2,0,1,1,Mid-Block (not related to intersection),PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,0,0,Clear or Partly Cloudy,Dry,Dusk,0,0,Vehicle Strikes Pedalcyclist,0,0,47.646503048118774,-122.32519936846165
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.61154371480974,-122.3114786861236
0,1,Cycles,2,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Pedalcyclist Strikes Moving Vehicle,0,0,47.60878749220817,-122.33844845839596
1,0,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.67577422008743,-122.30065154721458
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",1,0,Raining,Wet,Dark - Street Lights On,0,0,Vehicle Strikes Pedalcyclist,0,0,47.612909621074635,-122.3062455482968
1,1,Cycles,3,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,1,0,Raining,Wet,Daylight,0,0,Pedalcyclist Strikes Moving Vehicle,0,0,47.67578248050508,-122.3108578614397
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Overcast,Dry,Daylight,1,0,Vehicle Strikes Pedalcyclist,1,0,47.62320915614482,-122.33844628839591
1,1,Cycles,3,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,0,0,Vehicle Strikes Pedalcyclist,0,0,47.67017483699674,-122.37888314544468
1,1,Cycles,2,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Overcast,Wet,Dark - Street Lights Off,0,0,Pedalcyclist Strikes Moving Vehicle,0,0,47.599186130013244,-122.32244469210012
1,1,Cycles,2,1,1,0,At Intersection (intersection related),PEDALCYCLIST STRUCK PEDESTRIAN,0,0,Overcast,Dry,Daylight,1,0,Pedalcyclist Strikes Pedalcyclist or Pedestrian,0,0,47.67655440134596,-122.31737321600777
1,1,Cycles,2,0,1,1,At Intersection (intersection related),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",0,0,Clear or Partly Cloudy,Dry,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.61582545523598,-122.33875323438272
1,1,Cycles,2,0,1,1,At Intersection (intersection related),PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,0,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,0,0,Vehicle Strikes Pedalcyclist,0,0,47.62832451034748,-122.32709992275879
0,1,Cycles,2,0,1,1,Mid-Block (not related to intersection),"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",1,0,Raining,Wet,Daylight,0,0,Vehicle Strikes Pedalcyclist,0,0,47.5982910012677,-122.33372831870615
