addrtype,location,severitycode,severitydesc,collisiontype,personcount,pedcount,pedcylcount,vehcount,injuries,seriousinjuries,fatalities,incdate,incdttm,junctiontype,sdot_colcode,sdot_coldesc,inattentionind,underinfl,weather,roadcond,lightcond,pedrownotgrnt,speeding,st_colcode,st_coldesc,crosswalkkey,hitparkedcar,state,latitude,longitude
Intersection,ALASKAN E RDWY WAY AND SPRING ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2019-01-25T00:00:00.000Z,1/25/2019 3:54:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.604651578239896,-122.33869324292378
Block,E CHERRY ST BETWEEN 21ST AVE AND 22ND AVE,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-11-15T00:00:00.000Z,11/15/2018 8:00:00 AM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Dawn,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.6080125260411,-122.30437525746581
Intersection,2ND AVE AND UNIVERSITY ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-11-14T00:00:00.000Z,11/14/2018 3:46:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.60729905819726,-122.33708679815666
Block,HARBOR AVE SW BETWEEN FAIRMOUNT AVE SW AND SW BRONSON WAY,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2018-10-15T00:00:00.000Z,10/15/2018 11:58:00 AM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.58635654911362,-122.37709106587592
Block,5TH AVE NE BETWEEN NE 71ST ST AND NE 72ND ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-11-09T00:00:00.000Z,11/9/2018 4:52:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Overcast,Dry,Dark - Street Lights On,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.68052069009705,-122.32286515402537
Block,LATONA AVE NE BETWEEN NE 77TH ST AND DEAD END 2,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-11-14T00:00:00.000Z,11/14/2018 9:30:00 AM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Wet,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.685300211847846,-122.32562209265913
Block,EASTLAKE AVE E BETWEEN E HAMLIN ST AND E SHELBY ST,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2018-10-29T00:00:00.000Z,10/29/2018 6:08:00 PM,Mid-Block (not related to intersection),56.0,PEDALCYCLIST STRUCK MOTOR VEHICLE LEFT SIDE SIDESWIPE,,N,Clear or Partly Cloudy,Dry,Dusk,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.646503048118774,-122.32519936846163
Intersection,16TH AVE AND E SPRING ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-11-29T00:00:00.000Z,11/29/2018 10:16:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.61154371480974,-122.3114786861236
Block,2ND AVE BETWEEN UNION ST AND PIKE ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-11-19T00:00:00.000Z,11/19/2018 9:16:00 AM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.60878749220817,-122.33844845839597
Intersection,25TH AVE NE AND NE 65TH ST,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2018-11-09T00:00:00.000Z,11/9/2018 8:33:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.67577422008743,-122.30065154721458
Intersection,20TH AVE AND E UNION ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-11-26T00:00:00.000Z,11/26/2018 8:23:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Raining,Wet,Dark - Street Lights On,,,5,Vehicle Strikes Pedalcyclist,0,N,Washington,47.612909621074635,-122.3062455482968
Intersection,16TH AVE NE AND NE 65TH ST,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2018-11-02T00:00:00.000Z,11/2/2018 8:25:00 AM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Raining,Wet,Daylight,,,6,Pedalcyclist Strikes Moving Vehicle,0,N,Washington,47.67578248050508,-122.3108578614397
